,Company,Major,City,State,Accept,CityState,lats,lons,County
158,FORD,ME,Dearborn,MI,R,"('Dearborn', 'MI')",42.3222599,-83.17631449999999,Wayne
159,FRITO LAY,BE,Bakersfield,CA,R,"('Bakersfield', 'CA')",35.3732921,-119.0187125,Kern
160,GAMMA TECHNOLOGIES,ME,Chicago,IN,R,"('Chicago', 'IN')",41.8781136,-87.6297982,Cook
161,GARMIN,CS,Olathe,KS,R,"('Olathe', 'KS')",38.8813958,-94.81912849999999,Johnson
162,GE,ME,Greenville,SC,R,"('Greenville', 'SC')",34.85261759999999,-82.3940104,Greenville
163,GE,ME,Greenville,SC,R,"('Greenville', 'SC')",34.85261759999999,-82.3940104,Greenville
164,GE,BE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
165,HONDA MANUFACTURING OF INDIANA,ME,Greensburg,IN,R,"('Greensburg', 'IN')",39.3372722,-85.483581,Decatur
166,HOSPIRA,CHE,Rocky Mt.,NC,R,"('Rocky Mt.', 'NC')",35.9382103,-77.7905339,Edgecombe
167,HYUNDAI,ME,Chino,CA,R,"('Chino', 'CA')",34.0122346,-117.688944,San Bernardino
168,INDESIGN,CPE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
169,INDIGO BIOSYSTEMS,BE,Indianapolis,IN,R,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
170,INDIGO BIOSYSTEMS,SE,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
171,INDUSTRIAL DESIGN GROUP,ME,Charlotte,NC,O,"('Charlotte', 'NC')",35.2270869,-80.8431267,Mecklenburg
172,INGREDION,ME,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
173,INGREDION,CHE,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
174,INGREDION,ME,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
175,INTEL,EE,Portland,OR,O,"('Portland', 'OR')",45.5234515,-122.6762071,Multnomah
176,INTERACTIONS CORP.,SE,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
177,INTERACTIVE INTELLIGENCE,CS,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
178,INTERNATIONAL PAPER,ME,Texarkana,TX,O,"('Texarkana', 'TX')",33.425125,-94.04768820000001,Bowie
179,INTERNATIONAL PAPER,CHE,Texarkana,TX,O,"('Texarkana', 'TX')",33.425125,-94.04768820000001,Bowie
180,INTERNATIONAL PAPER,CHE,Courtland,AL,O,"('Courtland', 'AL')",34.6689794,-87.3094649,Lawrence
181,INTERNATIONAL PAPER,CHE,Shreveport,LA,O,"('Shreveport', 'LA')",32.5251516,-93.7501789,Caddo
182,IXL LEARNING,CS,San Mateo,CA,O,"('San Mateo', 'CA')",37.5629917,-122.3255254,San Mateo
183,"JACOB & HEFNER ASSOCIATES, INC.",CE,Chicago,IL,O,"('Chicago', 'IL')",41.8781136,-87.6297982,Cook
184,LEXMARK,CPE,Lexington,KY,O,"('Lexington', 'KY')",38.0405837,-84.5037164,Fayette
185,MANHARD,CE,Vernon Hills,IL,O,"('Vernon Hills', 'IL')",42.23933230000001,-87.9653565,Lake
186,MARATHON OIL,CHE,Robinson,IL,O,"('Robinson', 'IL')",39.0053201,-87.7391935,Crawford
187,MARATHON OIL,CHE,Canton,OH,O,"('Canton', 'OH')",40.79894729999999,-81.378447,Stark
188,MARATHON OIL,CHE,Robinson,IL,O,"('Robinson', 'IL')",39.0053201,-87.7391935,Crawford
189,MARATHON OIL,EE,Houston,TX,O,"('Houston', 'TX')",29.7601927,-95.36938959999999,Harris
190,MAXIM INC,EE,Colorado Springs,CO,O,"('Colorado Springs', 'CO')",38.8338816,-104.8213634,El Paso
191,MESSER CONSTRUCTION,CE,Cincinnati,OH,O,"('Cincinnati', 'OH')",39.1031182,-84.5120196,Hamilton
192,MICRON,EE,Minneapolis,MN,O,"('Minneapolis', 'MN')",44.983334,-93.26666999999999,Hennepin
193,MICROSOFT,SE,Redmond,WA,O,"('Redmond', 'WA')",47.6739881,-122.121512,King
194,MICROSOFT,SE,Mountain View,CA,O,"('Mountain View', 'CA')",37.3860517,-122.0838511,Santa Clara
195,MIDWEST COMPLIANCE LABORATORIES,CHEM,Terre Haute,IN,O,"('Terre Haute', 'IN')",39.4667034,-87.41390919999999,Vigo
196,MIT LINCOLN LABS,OE,Boston,MA,O,"('Boston', 'MA')",42.3584308,-71.0597732,Suffolk
197,MS CONSULTANTS INC.,CE,Columbus,OH,O,"('Columbus', 'OH')",39.9611755,-82.99879419999999,Franklin
198,MS CONSULTANTS INC.,CE,Columbus,OH,O,"('Columbus', 'OH')",39.9611755,-82.99879419999999,Franklin
199,NALCO COMPANY,CHE,Houston,TX,O,"('Houston', 'TX')",29.7601927,-95.36938959999999,Harris
200,NASA,CS,Marshall Space Flight Center,AL,O,"('Marshall Space Flight Center', 'AL')",34.6465571,-86.67574549999999,Madison
201,NATIONAL INSTRUMENTS,CS,Austin,TX,O,"('Austin', 'TX')",30.267153,-97.7430608,Travis
202,NATIONAL INSTRUMENTS,EE,Austin,TX,O,"('Austin', 'TX')",30.267153,-97.7430608,Travis
203,NATIONAL INSTRUMENTS,ME,Austin,TX,O,"('Austin', 'TX')",30.267153,-97.7430608,Travis
204,NATIONAL INSTRUMENTS,BE,Austin,TX,O,"('Austin', 'TX')",30.267153,-97.7430608,Travis
205,NATIONAL INSTRUMENTS,CPE,Austin,TX,O,"('Austin', 'TX')",30.267153,-97.7430608,Travis
206,NATIONAL INSTRUMENTS,EE,Austin,TX,O,"('Austin', 'TX')",30.267153,-97.7430608,Travis
207,NATIONAL INSTRUMENTS,CPE,Austin,TX,O,"('Austin', 'TX')",30.267153,-97.7430608,Travis
208,NATIONAL INSTRUMENTS,CPE,Austin,TX,O,"('Austin', 'TX')",30.267153,-97.7430608,Travis
209,NATIONAL INSTRUMENTS,BE,Austin,TX,O,"('Austin', 'TX')",30.267153,-97.7430608,Travis
210,NSA,CS,Fort Meade,MD,O,"('Fort Meade', 'MD')",39.1137602,-76.7267773,Anne Arundel
211,NAVSEA,ME,Crane,IN,O,"('Crane', 'IN')",38.8911588,-86.90389379999999,Martin
212,NAVSEA,ME,Crane,IN,O,"('Crane', 'IN')",38.8911588,-86.90389379999999,Martin
213,NICEPAK,CE,Mooresville,IN,O,"('Mooresville', 'IN')",39.6128243,-86.37415999999999,Morgan
214,NORTHROP GRUMMAN,CPE,Cincinnati,OH,O,"('Cincinnati', 'OH')",39.1031182,-84.5120196,Hamilton
215,NORTHROP GRUMMAN,CS,Baltimore,MD,O,"('Baltimore', 'MD')",39.2903848,-76.6121893,US
216,NSA,PHY,Fort Meade,MD,O,"('Fort Meade', 'MD')",39.1137602,-76.7267773,Anne Arundel
217,NUCOR STEEL,EE,Crawfordsville,IN,O,"('Crawfordsville', 'IN')",40.0411536,-86.87445160000001,Montgomery
218,OPTIS,OE,Troy,MI,O,"('Troy', 'MI')",42.6055893,-83.1499304,Oakland
219,ORS INC,CS,Fishers,IN,O,"('Fishers', 'IN')",39.9567548,-86.01335,Hamilton
220,ORS INC,CHE,Indianapolis,IN,O,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
221,PERFORMANCE VALIDATION,BE,Bloomington,IN,O,"('Bloomington', 'IN')",39.165325,-86.52638569999999,Monroe
222,PERRY ENGINEERING,CE,Goodlettsville,TN,O,"('Goodlettsville', 'TN')",36.3231066,-86.7133302,Davidson
