,City,State,Major,Salary,CityState,lats,lons,County,DistFromRoseHulman,BearingFromRoseHulman
150,Indianapolis,IN,SE,65000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
151,Indianapolis,IN,ME,55000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
152,Indianapolis,IN,CE,48000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
153,Indianapolis,IN,CE,46280,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
154,Indianapolis,IN,CS,45000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
155,Indianapolis,IN,ME,59000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
156,Indianapolis,IN,ME,60000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
157,Indianapolis,IN,ME,60000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
158,Indianapolis,IN,CE,50443,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
159,Indianapolis,IN,SE,59000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
160,Indianapolis,IN,CS,60000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
161,Indianapolis,IN,SE,44000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
162,Indianapolis,IN,EE,58000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
163,Indianapolis,IN,BE,43000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
164,Indianapolis,IN,ME,60000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
165,Indianapolis,IN,ME,62000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
166,Indianapolis,IN,CHE,60000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
167,Indianapolis,IN,CPE,62000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
168,Indianapolis,IN,EE,62000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
169,Indianapolis,IN,SE,65000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
170,Indianapolis,IN,ME,59000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
171,Indianapolis,IN,BE,59000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
172,Indianapolis,IN,SE,56000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
173,Indianapolis,IN,CS,55500,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
174,Indianapolis,IN,CHE,61200,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
175,Indianapolis,IN,CHE,63000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
176,Indianapolis,IN,CS,58000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
177,Indianapolis,IN,CHE,60999,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
178,Indianapolis,IN,ME,60999,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
179,Indianapolis,IN,CHE,60000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
180,Indianapolis,IN,SE,51000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
181,Indianapolis,IN,CPE,68000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
182,Indianapolis,IN,CE,57192,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
183,Indianapolis,IN,CS,56520,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
184,Indianapolis,IN,CS,63000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
185,Indianapolis,IN,EE,62000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
186,Indianapolis,IN,CPE,62000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
187,Indianapolis,IN,BE,65000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
188,Indianapolis,IN,CS,42000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
189,Indianapolis,IN,CPE,58000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
190,Indianapolis,IN,CHE,63000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
191,Indianapolis,IN,BE,42240,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
192,Indianapolis,IN,CHE,58000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
193,Indianapolis,IN,CHE,64200,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
194,Indianapolis,IN,CIVIL,45780,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
195,Indianapolis,IN,SE,50000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
196,Indianapolis,IN,ME,63000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
197,Indianapolis,IN,ME,60000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
198,Indianapolis,IN,CHE,64000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
199,Indianapolis,IN,SE,70000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
200,Indianapolis,IN,ME,60000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
201,Indianapolis,IN,BE,48000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
202,Indianapolis,IN,CHE,68000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
203,Indianapolis,IN,SE,63000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
204,Indianapolis,IN,SE,60000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
205,Indianapolis,IN,EE,60000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
206,Indianapolis,IN,ME,64000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
207,Indianapolis,IN,ME,63000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
208,Indianapolis,IN,ME,63000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
209,Indianapolis,IN,EE,65000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
210,Indianapolis,IN,CPE,70000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
211,Indianapolis,IN,ME,63500,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion,65.47625370620044,18.08969650809829
