,City,State,Major,Salary,CityState,lats,lons,County
205,Crawfordsville,IN,EE,60049,"('Crawfordsville', 'IN')",40.0411536,-86.87445160000001,Montgomery
206,Troy,MI,OE,65000,"('Troy', 'MI')",42.6055893,-83.1499304,Oakland
207,Fishers,IN,CS,68000,"('Fishers', 'IN')",39.9567548,-86.01335,Hamilton
208,Indianapolis,IN,CHE,56500,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
209,Bloomington,IN,BE,50000,"('Bloomington', 'IN')",39.165325,-86.52638569999999,Monroe
210,Goodlettsville,TN,CE,47840,"('Goodlettsville', 'TN')",36.3231066,-86.7133302,Davidson
211,St. Louis,MO,CHE,85200,"('St. Louis', 'MO')",38.6270025,-90.19940419999999,St Louis
212,Monticello,IN,ME,45000,"('Monticello', 'IN')",40.7453169,-86.7647343,White
213,Greensboro,NC,EE,70000,"('Greensboro', 'NC')",36.0726354,-79.7919754,Guilford
214,Colorado Springs,CO,SE,56000,"('Colorado Springs', 'CO')",38.8338816,-104.8213634,El Paso
215,Cleveland,OH,SE,56000,"('Cleveland', 'OH')",41.4994954,-81.6954088,Cuyahoga
216,Jupiter,FL,ME,68000,"('Jupiter', 'FL')",26.9342246,-80.0942087,Palm Beach
217,Indianapolis,IN,BE,45000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
218,Marion,IN,ME,60000,"('Marion', 'IN')",40.5583739,-85.6591442,Grant
219,San Diego,CA,EE,85000,"('San Diego', 'CA')",32.7153292,-117.1572551,San Diego
220,Tucson,AZ,ME,65800,"('Tucson', 'AZ')",32.2217429,-110.926479,Pima
221,Fort Wayne,IN,EE,69451,"('Fort Wayne', 'IN')",41.079273,-85.1393513,Allen
222,Columbia,MD,BE,74000,"('Columbia', 'MD')",39.2037144,-76.86104619999999,Howard
223,Baltimore,MD,PHY,67584,"('Baltimore', 'MD')",39.2903848,-76.6121893,US
224,Columbia,MD,CPE,67500,"('Columbia', 'MD')",39.2037144,-76.86104619999999,Howard
225,Tucson,AZ,EE,67000,"('Tucson', 'AZ')",32.2217429,-110.926479,Pima
226,New York City,NY,EE,57000,"('New York City', 'NY')",40.7143528,-74.00597309999999,US
227,Indianapolis,IN,BE,58000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
228,Cedar Rapids,IA,EE,63000,"('Cedar Rapids', 'IA')",41.9778795,-91.6656232,Linn
229,Indianapolis,IN,ME,64000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
230,Indianapolis,IN,ME,66000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
231,Indianapolis,IN,ME,64600,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
232,Indianapolis,IN,ME,64500,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
233,Indianapolis,IN,ME,64600,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
234,St. Charles,IL,ME,56500,"('St. Charles', 'IL')",41.9141945,-88.3086867,Kane
235,Anderson,IN,EE,60000,"('Anderson', 'IN')",40.1053196,-85.6802541,Madison
236,Owensboro,KY,ME,62000,"('Owensboro', 'KY')",37.7719074,-87.1111676,Daviess
237,Albuquerque,NM,EE,72800,"('Albuquerque', 'NM')",35.110703,-106.609991,Bernalillo
238,Prudhoe Bay,AK,CHE,60000,"('Prudhoe Bay', 'AK')",70.2556453,-148.3384293,North Slope
239,Broussard,LA,CHE,72000,"('Broussard', 'LA')",30.147146,-91.9612305,Lafayette
240,Lafayette,LA,ME,60000,"('Lafayette', 'LA')",30.2240897,-92.0198427,Lafayette
241,Bloomington,MN,CS,62000,"('Bloomington', 'MN')",44.840798,-93.2982799,Hennepin
242,Coldwater,MI,ME,42900,"('Coldwater', 'MI')",41.9403263,-85.00052149999999,Branch
243,Ellicott City,MD,CS,90000,"('Ellicott City', 'MD')",39.2673283,-76.7983067,Howard
244,Ellicott City,MD,CS,90000,"('Ellicott City', 'MD')",39.2673283,-76.7983067,Howard
245,Indianapolis,IN,CS,60000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
246,Carmel,IN,SE,60000,"('Carmel', 'IN')",39.978371,-86.1180435,Hamilton
247,Indianapolis,IN,CS,60000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
248,Indianapolis,IN,CS,65000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
249,Orlando,FL,CE,56900,"('Orlando', 'FL')",28.5383355,-81.3792365,Orange
250,Chicago,IL,CHE,70000,"('Chicago', 'IL')",41.8781136,-87.6297982,Cook
251,Bowling Green,KY,ME,63000,"('Bowling Green', 'KY')",36.9903199,-86.4436018,Warren
252,Indianapolis,IN,SE CS,60000,"('Indianapolis', 'IN')",39.768403,-86.158068,Marion
253,"San Antonio,",TX,EE,65000,"('San Antonio,', 'TX')",29.4241219,-98.49362819999999,Bexar
254,"San Antonio,",TX,ME,62000,"('San Antonio,', 'TX')",29.4241219,-98.49362819999999,Bexar
255,Plymouth,MN,ME,63000,"('Plymouth', 'MN')",45.0105194,-93.4555093,Hennepin
256,Connersville,IN,CHE,60000,"('Connersville', 'IN')",39.6411589,-85.1410748,Fayette
257,Lafayette,IN,CHE,66000,"('Lafayette', 'IN')",40.4167022,-86.87528689999999,Tippecanoe
258,Lafayette,IN,CHE,66000,"('Lafayette', 'IN')",40.4167022,-86.87528689999999,Tippecanoe
259,Lafayette,IN,CHE,66000,"('Lafayette', 'IN')",40.4167022,-86.87528689999999,Tippecanoe
260,Richardson,TX,EE,64008,"('Richardson', 'TX')",32.9481789,-96.7297205,Dallas
261,Dallas,TX,EE,76000,"('Dallas', 'TX')",32.7801399,-96.80045109999999,Dallas
262,Palo Alto,CA,ME,75000,"('Palo Alto', 'CA')",37.4418834,-122.1430195,Santa Clara
263,Dallas,TX,CHE,67008,"('Dallas', 'TX')",32.7801399,-96.80045109999999,Dallas
264,Dallas,TX,EE,67008,"('Dallas', 'TX')",32.7801399,-96.80045109999999,Dallas
